year,month,day,provstate,city,latitude,longitude,primary_attacktype,secondary_attacktype,tertiary_attacktype,primary_target,secondary_target,tertiary_target,target_nationality,primary_group,secondary_group,tertiary_group,nperps,nperpcap,weaptype1,weapsubtype1,weaptype2,weapsubtype2,weaptype3,weapsubtype3,nkill,nwound,nkillter,nwoundte
2014,1,15,Aleppo,Jarabulus,36.816667,38.016667,Bombing/Explosion,NA,NA,Terrorists/Non-State Militia,Private Citizens & Property,NA,Syria,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,14,NA,1,0
2014,1,15,Aleppo,Jarabulus,36.816667,38.016667,Bombing/Explosion,NA,NA,Terrorists/Non-State Militia,Private Citizens & Property,NA,Syria,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,13,NA,0,0
2014,1,14,Homs,Homs,34.7338,36.702462,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,18,NA,0,0
2013,10,15,Aleppo,Bab,36.372393,37.517753,Hostage Taking (Kidnapping),NA,NA,Private Citizens & Property,NA,NA,Syria,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Melee,Rope or Other Strangling Device,Melee,Unknown Weapon Type,Other,NA,0,1,0,0
2014,1,18,Unknown,Unknown,NA,NA,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,4,NA,0,0
2014,1,20,Idlib,Bab al-Hawa,36.230639,36.692639,Bombing/Explosion,NA,NA,Terrorists/Non-State Militia,Private Citizens & Property,NA,Syria,Unknown,NA,NA,2,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,6,10,1,0
2014,1,20,Idlib,Bab al-Hawa,36.230639,36.692639,Bombing/Explosion,NA,NA,Terrorists/Non-State Militia,Private Citizens & Property,NA,Syria,Unknown,NA,NA,2,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,6,10,1,0
2014,1,21,Aleppo,Unknown,36.219903,37.473936,Facility/Infrastructure Attack,NA,NA,Journalists & Media,NA,NA,Turkey,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,0,0
2014,1,26,Damascus,Damascus,33.519644,36.316667,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,7,0,0
2014,2,3,Homs,Homs,34.730609,36.715225,Hostage Taking (Kidnapping),NA,NA,Terrorists/Non-State Militia,NA,NA,Syria,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Melee,Knife or Other Sharp Object,NA,NA,NA,NA,1,0,0,0
2014,1,27,Hamah,Ruhjan,35.406087,37.430849,Bombing/Explosion,NA,NA,Military,NA,NA,Syria,Al-Nusrah Front,Greater Damascus Operations Room,NA,2,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,15,NA,2,0
2014,1,27,Aleppo,Aleppo,36.211252,37.143709,Bombing/Explosion,NA,NA,Terrorists/Non-State Militia,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,1,0,0,0
2014,1,28,Aleppo,Al-Rai,36.613248,37.449438,Bombing/Explosion,NA,NA,Military,NA,NA,Turkey,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),NA,NA,NA,NA,5,0,1,0
2014,1,29,Idlib,Kafr Nabl,35.613978,36.564865,Assassination,NA,NA,Journalists & Media,NA,NA,Syria,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Firearms,Unknown Gun Type,NA,NA,NA,NA,0,1,0,0
2014,1,30,Aleppo,Aleppo,36.206053,37.153648,Bombing/Explosion,NA,NA,Military,NA,NA,Syria,Muslim extremists,NA,NA,NA,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,6,0,0,0
2014,1,30,Aleppo,Khanasser,35.781231,37.498348,Bombing/Explosion,NA,NA,Military,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,10,NA,0,0
