year,month,day,provstate,city,latitude,longitude,primary_attacktype,primary_target,target_nationality,primary_group,nperps,nperpcap,weaptype1,weapsubtype1,nkill,nwound,nkillter,nwoundte
1981,1,15,Hamah,Hamah,35.136363,36.752194,Armed Assault,Police,Syria,Muslim Brotherhood,NA,NA,Firearms,Automatic Weapon,NA,NA,NA,NA
1981,1,16,Hamah,Hamah,35.136363,36.752194,Assassination,Government (General),Syria,Muslim Brotherhood,NA,NA,Firearms,Automatic Weapon,1,0,NA,NA
1981,1,16,Aleppo,Aleppo,36.212989,37.142588,Assassination,Military,Syria,Unknown,NA,NA,Unknown,NA,1,0,NA,NA
1981,1,19,Aleppo,Aleppo,36.212989,37.142588,Assassination,Military,Syria,Unknown,NA,NA,Unknown,NA,1,0,NA,NA
1981,1,19,Aleppo,Aleppo,36.212989,37.142588,Assassination,Government (General),Syria,Muslim Brotherhood,NA,NA,Unknown,NA,3,0,NA,NA
1981,1,20,Hamah,Hamah,35.136363,36.752194,Bombing/Explosion,Military,Syria,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA
1981,1,21,Aleppo,Aleppo,36.212989,37.142588,Unknown,Police,Syria,Muslim Brotherhood,NA,NA,Unknown,NA,1,0,NA,NA
1981,1,23,Aleppo,Aleppo,36.212989,37.142588,Assassination,Military,Syria,Muslim Brotherhood,NA,NA,Unknown,NA,1,0,NA,NA
1981,1,25,Aleppo,Aleppo,36.212989,37.142588,Assassination,Military,Syria,Muslim Brotherhood,NA,NA,Unknown,NA,5,0,NA,NA
1981,1,25,Aleppo,Aleppo,36.212989,37.142588,Armed Assault,Military,Syria,Muslim Brotherhood,NA,NA,Firearms,Automatic Weapon,NA,NA,NA,NA
1981,1,26,Aleppo,Aleppo,36.212989,37.142588,Assassination,Private Citizens & Property,Syria,Muslim Brotherhood,9,NA,Unknown,NA,NA,0,NA,NA
1981,1,26,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Transportation,Syria,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,3,15,NA,NA
1981,2,0,Aleppo,Aleppo,36.212989,37.142588,Armed Assault,Military,Syria,Muslim Brotherhood,NA,NA,Firearms,Automatic Weapon,5,0,NA,NA
1981,2,7,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Government (General),Syria,Arab Revolution/Liberation Vanguard Organization,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA
1981,2,8,Aleppo,Aleppo,36.212989,37.142588,Unknown,Military,Syria,Muslim Brotherhood,NA,NA,Unknown,NA,NA,NA,NA,NA
1981,2,10,Hamah,Hamah,35.136363,36.752194,Bombing/Explosion,Government (General),Syria,Arab Revolution/Liberation Vanguard Organization,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,10,NA,NA
1981,2,17,Aleppo,Aleppo,36.212989,37.142588,Unknown,Police,Syria,Muslim Brotherhood,NA,NA,Unknown,NA,2,0,NA,NA
1981,2,19,Hamah,Hamah,35.136363,36.752194,Unknown,Transportation,Soviet Union,Arab Revolution/Liberation Vanguard Organization,NA,NA,Unknown,NA,3,0,NA,NA
1981,2,28,Aleppo,Aleppo,36.212989,37.142588,Armed Assault,Military,Syria,Muslim Brotherhood,NA,NA,Firearms,Automatic Weapon,NA,NA,NA,NA
1981,2,28,Idlib,Jisr Ash-Shughur,35.814105,36.320511,Bombing/Explosion,Transportation,Syria,Muslim Brotherhood,NA,NA,Firearms,Automatic Weapon,25,0,NA,NA
1981,3,10,Aleppo,Aleppo,36.212989,37.142588,Assassination,Educational Institution,Syria,Muslim Brotherhood,NA,NA,Firearms,Handgun,1,0,NA,NA
1981,3,15,Aleppo,Aleppo,36.212989,37.142588,Assassination,Government (General),Syria,Muslim Brotherhood,NA,NA,Firearms,Automatic Weapon,1,0,NA,NA
1981,3,30,Aleppo,Aleppo,36.212989,37.142588,Assassination,Private Citizens & Property,Syria,Muslim Brotherhood,NA,NA,Firearms,Automatic Weapon,0,2,NA,NA
1981,8,17,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Government (General),Syria,National Salvation Forces Organization,NA,NA,Explosives/Bombs/Dynamite,Vehicle,1,0,NA,NA
1981,9,3,Damascus,Damascus,33.513273,36.273844,Bombing/Explosion,Military,Syria,Unknown,NA,NA,Explosives/Bombs/Dynamite,Vehicle,20,50,NA,NA
1981,10,5,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Private Citizens & Property,Soviet Union,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,5,NA,NA
1981,10,22,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Transportation,Syria,Unknown,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA
1981,11,29,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Private Citizens & Property,Syria,Front for the Liberation of Lebanon from Foreigners,NA,NA,Explosives/Bombs/Dynamite,Vehicle,90,135,NA,NA
1982,1,25,Idlib,Idlib,35.931816,36.635165,Armed Assault,Military,Syria,Unknown,NA,NA,Firearms,Automatic Weapon,0,12,NA,NA
1982,2,7,Hamah,Hamah,35.136363,36.752194,Bombing/Explosion,Military,Syria,Unknown,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,40,0,NA,NA
1982,2,9,Aleppo,Aleppo,36.212989,37.142588,Assassination,Military,Syria,Unknown,NA,NA,Firearms,Handgun,1,0,NA,NA
1982,2,18,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Government (General),Syria,Unknown,1,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,NA,NA,NA
1982,3,7,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Private Citizens & Property,Syria,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,3,0,NA,NA
1982,3,18,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Business,Syria,Unknown,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,3,NA,NA,NA
1982,3,27,Aleppo,Aleppo,36.212989,37.142588,Armed Assault,Military,Syria,Muslim Brotherhood,NA,NA,Firearms,Automatic Weapon,3,0,NA,NA
1982,4,6,Aleppo,Aleppo,36.212989,37.142588,Assassination,Government (General),Syria,Muslim Brotherhood,NA,NA,Unknown,NA,1,0,NA,NA
1982,4,6,Aleppo,Aleppo,36.212989,37.142588,Armed Assault,Private Citizens & Property,Soviet Union,Muslim Brotherhood,NA,NA,Firearms,Automatic Weapon,2,0,NA,NA
1982,4,11,Damascus,Damascus,33.512753,36.295873,Bombing/Explosion,Military,Syria,Unknown,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,15,0,NA,NA
1982,4,12,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Government (General),Syria,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,25,0,NA,NA
1982,4,12,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Private Citizens & Property,Syria,Unknown,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,10,NA,NA
1982,4,12,Aleppo,Aleppo,36.212989,37.142588,Assassination,Government (General),Syria,Muslim Brotherhood,NA,NA,Unknown,NA,1,0,NA,NA
1982,4,12,Aleppo,Aleppo,36.212989,37.142588,Hostage Taking (Kidnapping),Military,Syria,Muslim Brotherhood,NA,NA,Unknown,NA,NA,NA,NA,NA
1982,4,18,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Private Citizens & Property,Syria,Unknown,1,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,NA,NA
1982,4,18,Aleppo,Azaz,36.585427,37.045851,Assassination,Military,Syria,Muslim Brotherhood,NA,NA,Unknown,NA,1,0,NA,NA
1982,5,7,Quneitra,Unknown,33.284408,35.693615,Bombing/Explosion,Military,Israel,Palestinians,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA
1982,5,27,Aleppo,Aleppo,36.212989,37.142588,Hijacking,Airports & Aircraft,Morocco,Unknown,1,NA,Firearms,Handgun,0,0,NA,NA
1982,6,18,Quneitra,Majdal al-Shams,33.267937,35.773513,Bombing/Explosion,Religious Figures/Institutions,Israel,Unknown,NA,NA,Explosives/Bombs/Dynamite,Grenade,0,0,NA,NA
