year,month,day,provstate,city,latitude,longitude,primary_attacktype,primary_target,target_nationality,primary_group,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte
2007,6,6,Diyala,Abdul Karim,33.773349,45.14945,Armed Assault,Terrorists/Non-State Militia,Iraq,Diyala Salvation Council,Firearms,Unknown Gun Type,15,0,0,0,0,0
2007,6,6,Baghdad,Baghdad,33.381146,44.34494,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,4,0,0,14,0,0
2007,6,6,Baghdad,Baghdad,33.381146,44.34494,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,3,0,0,13,0,0
2007,6,6,Baghdad,Baghdad,33.381146,44.34494,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,0,0,0,0,0,0
2007,6,6,Baghdad,Baghdad,33.3,44.4,Hostage Taking (Kidnapping),Religious Figures/Institutions,Iraq,Unknown,Firearms,Unknown Gun Type,0,0,0,0,0,0
2007,6,6,Kirkuk,Kirkuk,35.46883,44.39098,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,3,0,0
2007,6,6,Saladin,Balad,34.016389,44.145278,Armed Assault,Police,Iraq,Unknown,Firearms,Unknown Gun Type,2,0,0,0,0,0
2007,6,6,Basra,Safwan,30.116667,47.716667,Hostage Taking (Kidnapping),Business,Iraq,Unknown,Firearms,Unknown Gun Type,0,0,0,1,0,0
2007,6,6,Saladin,Balad,34.016389,44.145278,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,1,0,0
2007,6,6,Al Anbar,Ramadi,33.431899,43.311566,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,3,0,1,6,0,0
2007,6,6,Baghdad,Baghdad,33.3,44.4,Armed Assault,Educational Institution,Iraq,Unknown,Firearms,Unknown Gun Type,2,0,0,1,0,0
2007,6,7,Qadisiyah,Diwaniyah,31.988807,44.924958,Armed Assault,Police,Iraq,Unknown,Firearms,Unknown Gun Type,1,0,0,0,0,0
2007,6,7,Baghdad,Baghdad,33.389934,44.460652,Bombing/Explosion,Business,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,5,0,0,15,0,0
2007,6,7,Nineveh,Mosul,36.34,43.13,Assassination,Journalists & Media,Iraq,Ansar al-Islam,Firearms,Unknown Gun Type,1,0,0,0,0,0
2007,6,7,Nineveh,Rabiaa,36.806417,42.092125,Bombing/Explosion,Business,Great Britain,Unknown,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),5,0,1,11,0,0
2007,6,7,Saladin,Tikrit,34.604447,43.685789,Bombing/Explosion,Police,Iraq,Ansar al-Islam,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,2,0,0
2007,6,7,Baghdad,Baghdad,33.247211,44.35676,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,0,0,0,0,0
2007,6,7,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1,0,0,9,0,0
2007,6,7,Baghdad,Baghdad,33.251563,44.391939,Armed Assault,Military,Iraq,Unknown,Firearms,Unknown Gun Type,0,0,0,2,0,0
